id,year,active_year,start_year,end_year,type_of_violence,conflict_new_id,conflict_name,dyad_new_id,dyad_name,side_a_new_id,gwnoa,side_a,side_b_new_id,gwnob,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,iso3,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,low,best,high
,#date+year,,#date+year+start,#date+year+end,,,,,,,,#group+name+first,,,#group+name+second,,#meta+source,,,#description,,,#loc+name,#adm1+name,#adm2+name,#geo+lat,#geo+lon,,,#country+name,,#country+code,#region+name,,,#date+start,#date+end,,,,,,#affected+killed,
73389,1989,1,1989,1989,3,486,Government of China - Civilians,953,Government of China - Civilians,135,710.0,Government of China,1,,Civilians,-1,"BBC, 1996-06-26",,,,Chinese President Jiang Zemin,6,China,,,35.0,105.0,POINT (105.000000 35.000000),180571,China,710,CHN,Asia,2,5,1989-04-01,1989-06-15,0,0,0,0,0,0,408
74369,2008,1,2008,2008,3,486,Government of China - Civilians,953,Government of China - Civilians,135,710.0,Government of China,1,,Civilians,-1,"Xinhua 2008-01-08 ""Feature: Public anger over China 'parapolice' reveals city administration dilemma",,,,victim's colleague,2,Tianmen town,Hubei province,Tianmen,30.65,113.1,POINT (113.100000 30.650000),174107,China,710,CHN,Asia,1,1,2008-01-07,2008-01-07,0,0,1,0,1,1,1
74342,2008,1,2008,2008,1,11349,"China: East Turkestan
",11990,Government of China - ETIM,135,710.0,Government of China,1156,,ETIM,-1,"Xinhua 2008-08-29, reported by BBC mon ""China confirms two policemen killed in Xinjiang attack"", ""The ETIM - China's Islamic Militants and the Global Terrorist Threat"", by J. Todd Reed and Diana Raschke, 2010, p. 66",,,,regional public security department,2,Jiashi county,Xinjiang province,Kashi,39.483333,76.65,POINT (76.650000 39.483333),186274,China,710,CHN,Asia,1,1,2008-08-27,2008-08-27,2,0,0,0,2,2,2
74354,1989,1,1989,1989,3,486,Government of China - Civilians,953,Government of China - Civilians,135,710.0,Government of China,1,,Civilians,-1,"R, 1989-03-05",,,,New China News Agency,1,Lhasa town,Tibet,Lhasa,29.65,91.1,POINT (91.100000 29.650000),172623,China,710,CHN,Asia,2,2,1989-03-05,1989-03-07,0,0,0,0,0,0,30
74383,1997,0,1997,1997,3,486,Government of China - Civilians,953,Government of China - Civilians,135,710.0,Government of China,1,,Civilians,-1,"AI: China: Remembering the victims of police brutality in Gulja, Xinjiang on 5-6 February 1997, 2005-02-04",,,,"AI, eyewitnesses",1,Yining town,Xinjiang,Ili,43.881111,81.245833,POINT (81.245833 43.881111),192763,China,710,CHN,Asia,1,1,1997-02-05,1997-02-05,0,0,3,0,3,3,3
74331,1997,0,1997,1997,3,486,Government of China - Civilians,953,Government of China - Civilians,135,710.0,Government of China,1,,Civilians,-1,"BBC, 1997-10-17",,,,,1,Guangzhou town,Guangdong,Guangzhou,23.116667,113.25,POINT (113.250000 23.116667),163307,China,710,CHN,Asia,1,1,1997-10-15,1997-10-15,0,0,1,0,1,1,1
74346,1990,0,1990,1990,1,11349,"China: East Turkestan
",11990,Government of China - ETIM,135,710.0,Government of China,1156,,ETIM,-1,San Fransisco Chronicle 23/4 1990,,,,0,3,Kizilsu,Xinjiang,Kizilsu,39.668053,76.171563,POINT (76.171563 39.668053),186993,China,710,CHN,Asia,1,1,1990-04-05,1990-04-05,6,0,0,0,6,6,6
74310,1989,1,1989,1989,3,486,Government of China - Civilians,953,Government of China - Civilians,135,710.0,Government of China,1,,Civilians,-1,"Brook, Timothy (1998) ""Quelling the People, 2nd Ed"" Stanford: Stanford University Press",,,,,1,Beijing city,Beijing,Dongcheng,39.928889,116.388333,POINT (116.388333 39.928889),187073,China,710,CHN,Asia,1,1,1989-06-04,1989-06-04,0,0,2600,0,931,2600,2700
74348,1990,0,1990,1990,1,11349,"China: East Turkestan
",11990,Government of China - ETIM,135,710.0,Government of China,1156,,ETIM,-1,"San Fransisco Chronicle 23/4 1990, Washington Post 25/9 1990, Seattle Times 7/10 1990",,,,0,3,Kizilsu,Xinjiang,Kizilsu,39.668053,76.171563,POINT (76.171563 39.668053),186993,China,710,CHN,Asia,1,1,1990-04-06,1990-04-06,0,14,0,0,14,14,42
