end_year,adm_1,best
#date+year+end,#adm1+name,#affected+killed
1989,,0
2008,Hubei province,1
2008,Xinjiang province,2
1989,Tibet,0
1997,Xinjiang,3
1997,Guangdong,1
1990,Xinjiang,6
1989,Beijing,2600
1990,Xinjiang,14
1990,Xinjiang,2
1999,Xinjiang,0
1999,Xinjiang,0
1999,Xinjiang,0
2005,Chongqing province,2
2005,Guangdong province,10
2007,Xinjiang province,0
2008,Xinjiang province,0
2008,Sichuan province,3
2008,Tibet province,24
2008,Tibet province,1
2008,Sichuan province,8
2008,Sichuan province,3
2008,Sichuan province,2
2008,Sichuan province,0
2008,Sichuan province,0
2008,Sichuan province,8
2008,Qinghai province,1
2008,Xinjiang province,16
2008,Xinjiang province,12
2008,Xinjiang province,6
2009,Guangdong province,2
2009,Xinjiang province,0
2009,Xinjiang province,185
2009,,1
2009,Yunnan province,1
2015,Yunnan province,5
2017,Xinjiang province,3
2017,Xinjiang province,3
